system,truth_nm,estimate_nm,error_nm,confidence,repeat
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.964270948591,-0.03572905140902094,0.05481356051336101,7
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.03893258240254,0.03893258240253772,0.050619103586774024,7
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.8880916704497,-0.11190832955031738,0.06507103819836492,7
double_helix,487.0,487.22056106905063,0.22056106905063189,0.05313304460656061,8
best_single_helix,487.0,487.0591334169596,0.05913341695958252,0.0849178118393557,8
original_dual_plus_minus,487.0,487.11540823571653,0.11540823571652936,0.032989218252687004,8
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.06411914237543,0.06411914237543215,0.04178313503255141,8
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.1030666831175,0.103066683117504,0.040302768102073436,8
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.96533646330846,-0.03466353669153932,0.055206247222153046,8
double_helix,487.0,486.9131563146717,-0.08684368532829012,0.10262023299839473,9
best_single_helix,487.0,487.22569891491236,0.22569891491235694,0.055304665123665324,9
original_dual_plus_minus,487.0,487.1123748648147,0.11237486481468295,0.03444026588692056,9
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.9262895175903,-0.07371048240969458,0.05602651130012923,9
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.9317963214848,-0.06820367851520359,0.059948396058837373,9
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.8400122034467,-0.15998779655330964,0.06405502290089078,9
double_helix,487.0,486.9899270066562,-0.01007299334378331,0.08954363793199416,10
best_single_helix,487.0,487.33120126008544,0.33120126008543593,0.032921890334205305,10
original_dual_plus_minus,487.0,486.8338976002894,-0.16610239971060992,0.059030372820479626,10
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.1465400530399,0.1465400530399279,0.03729414890538458,10
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.8545260224374,-0.14547397756257396,0.06864214282460344,10
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.08855365605706,0.08855365605705856,0.04316323863212579,10
double_helix,487.0,486.9987518556037,-0.0012481443962997218,0.08754717286622903,11
best_single_helix,487.0,486.98361109079576,-0.01638890920423819,0.10103189006761534,11
original_dual_plus_minus,487.0,487.1165154415233,0.11651544152329052,0.034070779591576554,11
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.16506190877385,0.16506190877385052,0.03613197980601861,11
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.0113967622375,0.01139676223749575,0.0545951038134607,11
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.21776339301437,0.21776339301436565,0.02969310024281694,11
double_helix,487.0,487.04772896962555,0.04772896962555251,0.07971086243198028,12
best_single_helix,487.0,487.08993921122743,0.08993921122743131,0.08370466440449836,12
original_dual_plus_minus,487.0,487.28852515128,0.2885251512799982,0.018869081434381874,12
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.2236340684869,0.22363406848688783,0.029403669735490523,12
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.00517073019876,0.005170730198756246,0.05552427134056674,12
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.2095138523844,0.20951385238441844,0.03268390663324536,12
double_helix,487.0,487.0770342971906,0.0770342971906075,0.07710892165283038,13
best_single_helix,487.0,486.96684929025446,-0.03315070974554146,0.1014170486986911,13
